cod_ibge;Municipio;Ano;Grupos Numero;Grupos;População
3506102;Bebedouro;2014;2;Médio;74769
3506102;Bebedouro;2016;3;Alto;74593
3506102;Bebedouro;2018;3;Alto;74373
3506102;Bebedouro;2020;3;Alto;74155
3506102;Bebedouro;2022;3;Alto;76364
3506102;Bebedouro;2024;3;Alto;76170
3506201;Bento de Abreu;2014;3;Alto;2785
3506201;Bento de Abreu;2016;3;Alto;2840
3506201;Bento de Abreu;2018;4;Muito alto;2892
3506201;Bento de Abreu;2020;3;Alto;2945
3506201;Bento de Abreu;2022;4;Muito alto;2606
3506201;Bento de Abreu;2024;3;Alto;2597
3506300;Bernardino de Campos;2014;2;Médio;10771
3506300;Bernardino de Campos;2016;1;Baixo;10773
3506300;Bernardino de Campos;2018;2;Médio;10780
3506300;Bernardino de Campos;2020;2;Médio;10787
3506300;Bernardino de Campos;2022;3;Alto;11601
3506300;Bernardino de Campos;2024;3;Alto;11681
3506359;Bertioga;2014;2;Médio;53915
3506359;Bertioga;2016;2;Médio;57109
3506359;Bertioga;2018;3;Alto;60120
3506359;Bertioga;2020;3;Alto;63290
3506359;Bertioga;2022;3;Alto;64055
3506359;Bertioga;2024;3;Alto;66594
3506409;Bilac;2014;3;Alto;7381
3506409;Bilac;2016;3;Alto;7537
3506409;Bilac;2018;3;Alto;7676
3506409;Bilac;2020;4;Muito alto;7816
3506409;Bilac;2022;3;Alto;7317
3506409;Bilac;2024;3;Alto;7293
3506508;Birigui;2014;3;Alto;114081
3506508;Birigui;2016;3;Alto;116637
3506508;Birigui;2018;4;Muito alto;118960
3506508;Birigui;2020;4;Muito alto;121329
3506508;Birigui;2022;3;Alto;118905
3506508;Birigui;2024;4;Muito alto;120046
3506607;Biritiba Mirim;2014;1;Baixo;30062
3506607;Biritiba Mirim;2016;1;Baixo;30822
3506607;Biritiba Mirim;2018;2;Médio;31571
3506607;Biritiba Mirim;2020;2;Médio;32338
3506607;Biritiba Mirim;2022;1;Baixo;29675
3506607;Biritiba Mirim;2024;2;Médio;29708
3506706;Boa Esperança do Sul;2014;1;Baixo;14022
3506706;Boa Esperança do Sul;2016;1;Baixo;14211
3506706;Boa Esperança do Sul;2018;2;Médio;14396
3506706;Boa Esperança do Sul;2020;1;Baixo;14582
3506706;Boa Esperança do Sul;2022;2;Médio;12983
3506706;Boa Esperança do Sul;2024;2;Médio;12814
3506805;Bocaina;2014;2;Médio;11387
3506805;Bocaina;2016;2;Médio;11646
3506805;Bocaina;2018;1;Baixo;11888
3506805;Bocaina;2020;2;Médio;12135
3506805;Bocaina;2022;1;Baixo;11256
3506805;Bocaina;2024;2;Médio;11268
3506904;Bofete;2014;1;Baixo;10215
3506904;Bofete;2016;2;Médio;10512
3506904;Bofete;2018;2;Médio;10790
3506904;Bofete;2020;2;Médio;11076
3506904;Bofete;2022;2;Médio;10454
3506904;Bofete;2024;2;Médio;10555
3507001;Boituva;2014;3;Alto;52177
3507001;Boituva;2016;3;Alto;54017
3507001;Boituva;2018;4;Muito alto;55630
3507001;Boituva;2020;4;Muito alto;57292
3507001;Boituva;2022;3;Alto;60982
3507001;Boituva;2024;3;Alto;62965
3507100;Bom Jesus dos Perdões;2014;2;Médio;21604
3507100;Bom Jesus dos Perdões;2016;2;Médio;22541
3507100;Bom Jesus dos Perdões;2018;3;Alto;23399
3507100;Bom Jesus dos Perdões;2020;2;Médio;24291
3507100;Bom Jesus dos Perdões;2022;2;Médio;21989
3507100;Bom Jesus dos Perdões;2024;3;Alto;22313
3507159;Bom Sucesso de Itararé;2014;1;Baixo;3676
3507159;Bom Sucesso de Itararé;2016;1;Baixo;3734
3507159;Bom Sucesso de Itararé;2018;1;Baixo;3797
3507159;Bom Sucesso de Itararé;2020;1;Baixo;3861
3507159;Bom Sucesso de Itararé;2022;1;Baixo;3555
3507159;Bom Sucesso de Itararé;2024;2;Médio;3530
3507209;Borá;2014;4;Muito alto;808
3507209;Borá;2016;4;Muito alto;809
3507209;Borá;2018;4;Muito alto;810
3507209;Borá;2020;4;Muito alto;812
3507209;Borá;2022;3;Alto;906
3507209;Borá;2024;4;Muito alto;901
3507308;Boracéia;2014;1;Baixo;4468
3507308;Boracéia;2016;2;Médio;4568
3507308;Boracéia;2018;3;Alto;4662
3507308;Boracéia;2020;3;Alto;4759
3507308;Boracéia;2022;2;Médio;4712
3507308;Boracéia;2024;3;Alto;4793
3507407;Borborema;2014;1;Baixo;14883
3507407;Borborema;2016;3;Alto;15045
3507407;Borborema;2018;3;Alto;15183
3507407;Borborema;2020;3;Alto;15323
3507407;Borborema;2022;2;Médio;14228
3507407;Borborema;2024;3;Alto;14102
3507456;Borebi;2014;2;Médio;2413
3507456;Borebi;2016;3;Alto;2470
3507456;Borebi;2018;3;Alto;2524
3507456;Borebi;2020;3;Alto;2579
3507456;Borebi;2022;2;Médio;2710
3507456;Borebi;2024;2;Médio;2766
3507506;Botucatu;2014;2;Médio;133281
3507506;Botucatu;2016;2;Médio;136091
3507506;Botucatu;2018;3;Alto;138590
3507506;Botucatu;2020;3;Alto;141135
