"cod_ibge";"municipio";"ano";"riqueza";"riqueza_estado";"longevidade";"longevidade_estado";"escolaridade";"escolaridade_estado";"IPDM";"IPDM_estado";"media"
3502606;"Aparecida d'Oeste";2016;0,274;0,438;0,795;0,717;0,622;0,511;0,564;0,555;0
3502606;"Aparecida d'Oeste";2018;0,322;0,451;0,813;0,721;0,742;0,563;0,626;0,578;0
3502606;"Aparecida d'Oeste";2020;0,343;0,439;0,783;0,722;0,712;0,594;0,613;0,585;0
3502606;"Aparecida d'Oeste";2022;0,313;0,441;0,72;0,697;0,611;0,556;0,548;0,565;1
3502606;"Aparecida d'Oeste";2024;0,366;0,464;0,784;0,716;0,676;0,569;0,609;0,583;0
3502705;"Apiaí";2014;0,283;0,457;0,761;0,698;0,419;0,449;0,488;0,535;1
3502705;"Apiaí";2016;0,261;0,438;0,638;0,717;0,527;0,511;0,475;0,555;1
3502705;"Apiaí";2018;0,269;0,451;0,635;0,721;0,537;0,563;0,48;0,578;1
3502705;"Apiaí";2020;0,277;0,439;0,765;0,722;0,559;0,594;0,534;0,585;1
3502705;"Apiaí";2022;0,276;0,441;0,685;0,697;0,517;0,556;0,493;0,565;1
3502705;"Apiaí";2024;0,312;0,464;0,69;0,716;0,611;0,569;0,538;0,583;1
3502754;"Araçariguama";2014;0,501;0,457;0,645;0,698;0,426;0,449;0,524;0,535;1
3502754;"Araçariguama";2016;0,507;0,438;0,666;0,717;0,455;0,511;0,543;0,555;1
3502754;"Araçariguama";2018;0,555;0,451;0,687;0,721;0,472;0,563;0,571;0,578;1
3502754;"Araçariguama";2020;0,542;0,439;0,708;0,722;0,499;0,594;0,583;0,585;1
3502754;"Araçariguama";2022;0,547;0,441;0,691;0,697;0,428;0,556;0,555;0,565;1
3502754;"Araçariguama";2024;0,561;0,464;0,687;0,716;0,447;0,569;0,565;0,583;1
3502804;"Araçatuba";2014;0,43;0,457;0,733;0,698;0,483;0,449;0,549;0,535;0
3502804;"Araçatuba";2016;0,418;0,438;0,699;0,717;0,558;0,511;0,558;0,555;0
3502804;"Araçatuba";2018;0,435;0,451;0,682;0,721;0,634;0,563;0,584;0,578;0
3502804;"Araçatuba";2020;0,428;0,439;0,702;0,722;0,684;0,594;0,605;0,585;0
3502804;"Araçatuba";2022;0,415;0,441;0,693;0,697;0,664;0,556;0,591;0,565;0
3502804;"Araçatuba";2024;0,449;0,464;0,696;0,716;0,69;0,569;0,612;0,583;0
3502903;"Araçoiaba da Serra";2014;0,348;0,457;0,704;0,698;0,459;0,449;0,504;0,535;1
3502903;"Araçoiaba da Serra";2016;0,337;0,438;0,751;0,717;0,526;0,511;0,538;0,555;1
3502903;"Araçoiaba da Serra";2018;0,401;0,451;0,749;0,721;0,572;0,563;0,574;0,578;1
3502903;"Araçoiaba da Serra";2020;0,407;0,439;0,706;0,722;0,59;0,594;0,568;0,585;1
3502903;"Araçoiaba da Serra";2022;0,407;0,441;0,748;0,697;0,511;0,556;0,555;0,565;1
3502903;"Araçoiaba da Serra";2024;0,434;0,464;0,755;0,716;0,582;0,569;0,59;0,583;0
3503000;"Aramina";2014;0,33;0,457;0,801;0,698;0,484;0,449;0,538;0,535;0
3503000;"Aramina";2016;0,312;0,438;0,76;0,717;0,46;0,511;0,511;0,555;1
3503000;"Aramina";2018;0,33;0,451;0,77;0,721;0,499;0,563;0,533;0,578;1
3503000;"Aramina";2020;0,328;0,439;0,727;0,722;0,506;0,594;0,52;0,585;1
3503000;"Aramina";2022;0,317;0,441;0,659;0,697;0,505;0,556;0,494;0,565;1
3503000;"Aramina";2024;0,354;0,464;0,768;0,716;0,523;0,569;0,548;0,583;1
3503109;"Arandu";2014;0,29;0,457;0,676;0,698;0,408;0,449;0,458;0,535;1
3503109;"Arandu";2016;0,298;0,438;0,68;0,717;0,412;0,511;0,463;0,555;1
3503109;"Arandu";2018;0,339;0,451;0,679;0,721;0,432;0,563;0,483;0,578;1
3503109;"Arandu";2020;0,357;0,439;0,658;0,722;0,481;0,594;0,499;0,585;1
3503109;"Arandu";2022;0,347;0,441;0,605;0,697;0,389;0,556;0,447;0,565;1
3503109;"Arandu";2024;0,378;0,464;0,642;0,716;0,472;0,569;0,497;0,583;1
3503158;"Arapeí";2014;0,211;0,457;0,701;0,698;0,186;0,449;0,366;0,535;1
3503158;"Arapeí";2016;0,206;0,438;0,867;0,717;0,363;0,511;0,479;0,555;1
3503158;"Arapeí";2018;0,237;0,451;0,815;0,721;0,299;0,563;0,45;0,578;1
3503158;"Arapeí";2020;0,249;0,439;0,761;0,722;0,347;0,594;0,452;0,585;1
3503158;"Arapeí";2022;0,252;0,441;0,792;0,697;0,298;0,556;0,447;0,565;1
3503158;"Arapeí";2024;0,26;0,464;0,796;0,716;0,352;0,569;0,469;0,583;1
3503208;"Araraquara";2014;0,436;0,457;0,693;0,698;0,525;0,449;0,551;0,535;0
3503208;"Araraquara";2016;0,422;0,438;0,727;0,717;0,564;0,511;0,571;0,555;0
3503208;"Araraquara";2018;0,436;0,451;0,738;0,721;0,6;0,563;0,591;0,578;0
3503208;"Araraquara";2020;0,432;0,439;0,753;0,722;0,656;0,594;0,614;0,585;0
3503208;"Araraquara";2022;0,428;0,441;0,739;0,697;0,607;0,556;0,591;0,565;0
3503208;"Araraquara";2024;0,452;0,464;0,73;0,716;0,627;0,569;0,603;0,583;0
3503307;"Araras";2014;0,414;0,457;0,731;0,698;0,594;0,449;0,58;0,535;0
3503307;"Araras";2016;0,394;0,438;0,69;0,717;0,691;0,511;0,592;0,555;0
3503307;"Araras";2018;0,411;0,451;0,671;0,721;0,684;0,563;0,589;0,578;0
3503307;"Araras";2020;0,407;0,439;0,742;0,722;0,716;0,594;0,622;0,585;0
3503307;"Araras";2022;0,403;0,441;0,732;0,697;0,652;0,556;0,596;0,565;0
3503307;"Araras";2024;0,422;0,464;0,694;0,716;0,722;0,569;0,613;0,583;0
3503356;"Arco-Íris";2014;0,242;0,457;0,724;0,698;0,421;0,449;0,462;0,535;1
3503356;"Arco-Íris";2016;0,288;0,438;0,617;0,717;0,587;0,511;0,497;0,555;1
3503356;"Arco-Íris";2018;0,357;0,451;0,59;0,721;0,701;0,563;0,549;0,578;1
3503356;"Arco-Íris";2020;0,372;0,439;0,64;0,722;0,644;0,594;0,552;0,585;1
3503356;"Arco-Íris";2022;0,354;0,441;0,798;0,697;0,612;0,556;0,588;0,565;0
3503356;"Arco-Íris";2024;0,387;0,464;0,906;0,716;0,639;0,569;0,644;0,583;0
3503406;"Arealva";2014;0,341;0,457;0,62;0,698;0,511;0,449;0,491;0,535;1
